Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
master-db,,,2019-07-25 14:20:57,2019-07-25 14:21:13,15.895s,FAILED
,,,,,,
Test Cases/phs-masterdb/DocTypeSave,,,2019-07-25 14:20:58,2019-07-25 14:21:03,5.594s,PASSED
"response = sendRequest(findTestObject(""phs-masterdb/DocTypeSave"", [""docType"":findTestData(""phs-masterdb/save"").getValue(1, 1), ""docId"":findTestData(""phs-masterdb/save"").getValue(2, 1), ""endpoint"":endpoint]))",,,2019-07-25 14:20:58,2019-07-25 14:21:03,4.798s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-07-25 14:21:03,2019-07-25 14:21:03,0.037s,PASSED
,,,,,,
Test Cases/phs-masterdb/ExtTypeSave,,,2019-07-25 14:21:03,2019-07-25 14:21:05,1.556s,PASSED
"response = sendRequest(findTestObject(""phs-masterdb/extTypeSave"", [""endpoint"":endpoint, ""id"":findTestData(""phs-masterdb/extTypeSave"").getValue(1, 1), ""mime"":findTestData(""phs-masterdb/extTypeSave"").getValue(2, 1), ... ]))",,,2019-07-25 14:21:04,2019-07-25 14:21:05,1.153s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-07-25 14:21:05,2019-07-25 14:21:05,0.003s,PASSED
,,,,,,
Test Cases/phs-masterdb/extTypeUpdate,,,2019-07-25 14:21:05,2019-07-25 14:21:06,0.910s,PASSED
"response = sendRequest(findTestObject(""phs-masterdb/ExtTypeUpdate"", [""endpoint"":endpoint, ""id"":findTestData(""phs-masterdb/extTypeUpdate"").getValue(1, 1), ""mime"":findTestData(""phs-masterdb/extTypeUpdate"").getValue(2, 1), ... ]))",,,2019-07-25 14:21:05,2019-07-25 14:21:06,0.545s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-07-25 14:21:06,2019-07-25 14:21:06,0.004s,PASSED
,,,,,,
Test Cases/phs-masterdb/findByAgentCode,,,2019-07-25 14:21:06,2019-07-25 14:21:06,0.721s,PASSED
"response = sendRequest(findTestObject(""phs-masterdb/findByAgentCode"", [""endpoint"":endpoint, ""agentCode"":findTestData(""phs-masterdb/findByAgentCode"").getValue(1, 1)]))",,,2019-07-25 14:21:06,2019-07-25 14:21:06,0.185s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-07-25 14:21:06,2019-07-25 14:21:06,0.004s,PASSED
,,,,,,
Test Cases/phs-masterdb/getall,,,2019-07-25 14:21:06,2019-07-25 14:21:07,0.567s,PASSED
"response = sendRequest(findTestObject(""phs-masterdb/getall"", [""endpoint"":endpoint]))",,,2019-07-25 14:21:07,2019-07-25 14:21:07,0.160s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-07-25 14:21:07,2019-07-25 14:21:07,0.006s,PASSED
,,,,,,
Test Cases/phs-masterdb/getBydocid,,,2019-07-25 14:21:07,2019-07-25 14:21:08,0.530s,PASSED
"response = sendRequest(findTestObject(""phs-masterdb/getBydocid"", [""endpoint"":endpoint, ""docId"":findTestData(""phs-masterdb/getBydocid"").getValue(1, 1)]))",,,2019-07-25 14:21:07,2019-07-25 14:21:08,0.135s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-07-25 14:21:08,2019-07-25 14:21:08,0.002s,PASSED
,,,,,,
Test Cases/phs-masterdb/getByParam,,,2019-07-25 14:21:08,2019-07-25 14:21:08,0.647s,PASSED
