Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
phs-boalter,,,2019-07-29 13:34:57,2019-07-29 13:35:26,29.065s,FAILED
,,,,,,
Test Cases/phs-boalter/phrtvalter,,,2019-07-29 13:34:57,2019-07-29 13:35:03,5.939s,PASSED
"response = sendRequest(findTestObject(""phs-boalter/phrtvalter"", [""endpoint"":endpoint, ""objid"":findTestData(""phs-boalteration/phrtvalter"").getValue(1, 1), ""chdrnum"":findTestData(""phs-boalteration/phrtvalter"").getValue(2, 1)]))",,,2019-07-29 13:34:58,2019-07-29 13:35:03,5.132s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-07-29 13:35:03,2019-07-29 13:35:03,0.019s,PASSED
,,,,,,
Test Cases/phs-boalter/phrtvaltfu,,To retrieve follow up code based on no policy and alteration number,2019-07-29 13:35:03,2019-07-29 13:35:04,0.934s,FAILED
"response = sendRequest(findTestObject(""phs-boalter/phrtvaltfu"", [""endpoint"":endpoint, ""objid"":findTestData(""phs-boalteration/phrtvaltfu"").getValue(1, 1), ""chdrnum"":findTestData(""phs-boalteration/phrtvaltfu"").getValue(2, 1), ... ]))",,,2019-07-29 13:35:04,2019-07-29 13:35:04,0.456s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-07-29 13:35:04,2019-07-29 13:35:04,0.052s,FAILED
,,,,,,
Test Cases/phs-boalter/phupdaltfl,,To add or update or delete alteration and follow up,2019-07-29 13:35:04,2019-07-29 13:35:26,21.468s,FAILED
"response = sendRequest(findTestObject(""phs-boalter/phupdaltfl"", [""endpoint"":endpoints]))",,,2019-07-29 13:35:05,2019-07-29 13:35:26,21.132s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-07-29 13:35:26,2019-07-29 13:35:26,0.010s,FAILED
