Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
phs-datacapture,,,2019-07-29 13:47:25,2019-07-29 13:47:33,8.248s,FAILED
,,,,,,
Test Cases/phs-datacapture/dataCaptureMajor,,,2019-07-29 13:47:25,2019-07-29 13:47:33,7.688s,FAILED
"response = sendRequest(findTestObject(""phs-datacapture/dataCaptureMajor"", [""endpoint"":endpoint, ""docId"":findTestData(""phs-datacapture/dataCaptureMajor"").getValue(1, 1), ""docIdType"":findTestData(""phs-datacapture/dataCaptureMajor"").getValue(2, 1), ... ]))",,,2019-07-29 13:47:26,2019-07-29 13:47:33,6.916s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-07-29 13:47:33,2019-07-29 13:47:33,0.047s,FAILED
