Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
phs-transaction,,,,2019-07-29 16:10:40,2019-07-29 16:11:08,28.493s,INCOMPLETE
,,,,,,,
Test Cases/phs-transaction/checkDuplicateCase,,,,2019-07-29 16:10:40,2019-07-29 16:10:43,3.235s,PASSED
"response = sendRequest(findTestObject(""phs-transaction/checkDuplicateCase"", [""endpoint"":endpoint, ""genId"":findTestData(""phs-transaction/checkDuplicateCase"").getValue(1, 1)]))",,,,2019-07-29 16:10:40,2019-07-29 16:10:43,2.688s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-07-29 16:10:43,2019-07-29 16:10:43,0.020s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-07-29 16:10:43,2019-07-29 16:10:43,0.007s,PASSED
,,,,,,,
Test Cases/phs-transaction/getAlterationByGenId,,,,2019-07-29 16:10:43,2019-07-29 16:10:44,0.705s,PASSED
"response = sendRequest(findTestObject(""phs-transaction/getAlterationByGenId"", [""endpoint"":endpoint, ""genId"":findTestData(""phs-transaction/getAlterationByGenId"").getValue(1, 1)]))",,,,2019-07-29 16:10:44,2019-07-29 16:10:44,0.282s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-07-29 16:10:44,2019-07-29 16:10:44,0.008s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-07-29 16:10:44,2019-07-29 16:10:44,0.001s,PASSED
,,,,,,,
Test Cases/phs-transaction/getAscUserByGenId,,,,2019-07-29 16:10:44,2019-07-29 16:10:44,0.568s,PASSED
"response = sendRequest(findTestObject(""phs-transaction/getAscUserByGenId"", [""endpoint"":endpoint, ""genId"":findTestData(""phs-transaction/getAscUserByGenId"").getValue(1, 1), ""taskName"":findTestData(""phs-transaction/getAscUserByGenId"").getValue(2, 1)]))",,,,2019-07-29 16:10:44,2019-07-29 16:10:44,0.234s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-07-29 16:10:44,2019-07-29 16:10:44,0.005s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-07-29 16:10:44,2019-07-29 16:10:44,0.001s,PASSED
,,,,,,,
Test Cases/phs-transaction/getCmIdByGenId,,,,2019-07-29 16:10:44,2019-07-29 16:10:45,0.531s,PASSED
"response = sendRequest(findTestObject(""phs-transaction/getCmIdByGenId"", [""endpoint"":endpoint, ""genId"":findTestData(""phs-transaction/getCmIdByGenId"").getValue(1, 1)]))",,,,2019-07-29 16:10:45,2019-07-29 16:10:45,0.231s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-07-29 16:10:45,2019-07-29 16:10:45,0.006s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-07-29 16:10:45,2019-07-29 16:10:45,0.001s,PASSED
,,,,,,,
Test Cases/phs-transaction/getExistingCaseByGenId,,,,2019-07-29 16:10:45,2019-07-29 16:10:46,0.525s,PASSED
"response = sendRequest(findTestObject(""phs-transaction/getExistingCaseByGenId"", [""endpoint"":endpoint, ""genId"":findTestData(""phs-transaction/getExistingCaseByGenId"").getValue(1, 1)]))",,,,2019-07-29 16:10:45,2019-07-29 16:10:46,0.213s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-07-29 16:10:46,2019-07-29 16:10:46,0.003s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-07-29 16:10:46,2019-07-29 16:10:46,0.001s,PASSED
,,,,,,,
Test Cases/phs-transaction/getExistingDataComponentByGenId,,,,2019-07-29 16:10:46,2019-07-29 16:10:46,0.474s,PASSED
"response = sendRequest(findTestObject(""phs-transaction/getExistingDataComponentByGenId"", [""endpoint"":endpoint, ""genId"":findTestData(""phs-transaction/getExistingDataComponentByGenId"").getValue(1, 1)]))",,,,2019-07-29 16:10:46,2019-07-29 16:10:46,0.125s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-07-29 16:10:46,2019-07-29 16:10:46,0.002s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-07-29 16:10:46,2019-07-29 16:10:46,0.001s,PASSED
,,,,,,,
Test Cases/phs-transaction/getJsonDataCapSubAlterByGenId,,,,2019-07-29 16:10:46,2019-07-29 16:10:46,0.448s,PASSED
"response = sendRequest(findTestObject(""phs-transaction/getJsonDataCapSubAlterByGenId"", [""endpoint"":endpoint, ""genId"":findTestData(""phs-transaction/getJsonDataCapSubAlterByGenId"").getValue(1, 1)]))",,,,2019-07-29 16:10:46,2019-07-29 16:10:46,0.146s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-07-29 16:10:46,2019-07-29 16:10:46,0.002s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-07-29 16:10:46,2019-07-29 16:10:46,0.001s,PASSED
,,,,,,,
Test Cases/phs-transaction/getMsaFsaResultByGenId,,,,2019-07-29 16:10:46,2019-07-29 16:10:47,0.403s,PASSED
"response = sendRequest(findTestObject(""phs-transaction/getMsaFsaResultByGenId"", [""endpoint"":endpoint, ""genId"":findTestData(""phs-transaction/getMsaFsaResultByGenId"").getValue(1, 1)]))",,,,2019-07-29 16:10:47,2019-07-29 16:10:47,0.109s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-07-29 16:10:47,2019-07-29 16:10:47,0.005s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-07-29 16:10:47,2019-07-29 16:10:47,0.000s,PASSED
,,,,,,,
Test Cases/phs-transaction/getPolAndAlter,,,,2019-07-29 16:10:47,2019-07-29 16:10:47,0.468s,PASSED
"response = sendRequest(findTestObject(""phs-transaction/getPolAndAlter"", [""endpoint"":endpoint, ""genId"":findTestData(""phs-transaction/getPolAndAlter"").getValue(1, 1)]))",,,,2019-07-29 16:10:47,2019-07-29 16:10:47,0.094s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-07-29 16:10:47,2019-07-29 16:10:47,0.003s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-07-29 16:10:47,2019-07-29 16:10:47,0.000s,PASSED
,,,,,,,
Test Cases/phs-transaction/getTrxTableByGenID,,,,2019-07-29 16:10:47,2019-07-29 16:10:48,0.463s,PASSED
"response = sendRequest(findTestObject(""phs-transaction/getTrxTableByGenID"", [""endpoint"":endpoint, ""genId"":findTestData(""phs-transaction/getTrxTableByGenID"").getValue(1, 1)]))",,,,2019-07-29 16:10:48,2019-07-29 16:10:48,0.105s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-07-29 16:10:48,2019-07-29 16:10:48,0.002s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-07-29 16:10:48,2019-07-29 16:10:48,0.000s,PASSED
,,,,,,,
Test Cases/phs-transaction/saveErrorLog,,,,2019-07-29 16:10:48,2019-07-29 16:10:49,0.718s,PASSED
"response = sendRequest(findTestObject(""phs-transaction/saveErrorLog"", [""endpoint"":endpoint, ""genId"":findTestData(""phs-transaction/saveErrorLog"").getValue(1, 1), ""message"":findTestData(""phs-transaction/saveErrorLog"").getValue(2, 1), ... ]))",,,,2019-07-29 16:10:48,2019-07-29 16:10:49,0.338s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-07-29 16:10:49,2019-07-29 16:10:49,0.002s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-07-29 16:10:49,2019-07-29 16:10:49,0.000s,PASSED
,,,,,,,
Test Cases/phs-transaction/saveEvdLifeAssured,,,,2019-07-29 16:10:49,2019-07-29 16:10:49,0.758s,PASSED
"response = sendRequest(findTestObject(""phs-transaction/saveEvdLifeAssured"", [""endpoint"":endpoint, ""genId"":findTestData(""phs-transaction/saveEvdLifeAssured"").getValue(1, 1), ""clientNo"":findTestData(""phs-transaction/saveEvdLifeAssured"").getValue(2, 1), ... ]))",,,,2019-07-29 16:10:49,2019-07-29 16:10:49,0.393s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-07-29 16:10:49,2019-07-29 16:10:49,0.002s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-07-29 16:10:49,2019-07-29 16:10:49,0.000s,PASSED
,,,,,,,
